Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,ROI_Annual_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
Donchian Trend BINANCEUSDT.P 2026-04-03,XRP,4h,13501417.81,135014.18,1350.1418,221.77,0.6076,71.95,9.88,1.84,-217925.7,-1.62,-1519913.53,-11.25,-29.98,-0.3,0,0,STRONG,TIER_1,15,10000,13511417.81,2253_days,27-01-2020,29-03-2026,0.06%,688,tv_backtester_jan_2024
CCI Trend BINANCEUSDT 2026-04-03,BTC,4h,60780476.75,607804.77,6078.0477,177.22,0.4855,80.66,13.68,2.67,-777021.2,-1.61,-4792383.31,-7.88,0,0,0,0,PROMISING,TIER_2,11,10000,60790476.75,3121_days,06-09-2017,25-03-2026,0.06%,1091,tv_backtester_jan_2024
HA Trend BINANCEUSDT.P 2026-04-03,LDO,4h,309828.4,3098.28,30.9828,171.76,0.4706,85.17,11.01,3.99,-6144.48,-1.95,-30963.91,-9.68,0,0,0,0,PROMISING,TIER_2,44,10000,319828.4,1266_days,14-10-2022,03-04-2026,0.06%,317,tv_backtester_jan_2024
HA Trend BINANCEUSDT 2026-04-03,LDO,4h,446988.41,4469.88,44.6988,170.48,0.4671,83.24,8.08,3.66,-10256.12,-3.21,-63127.12,-13.81,-161.48,-1.61,0,0,PROMISING,TIER_2,37,10000,456988.41,1403_days,30-05-2022,03-04-2026,0.06%,352,tv_backtester_jan_2024
HA Trend BINANCEUSDT.P 2026-04-03,LINK,4h,4237393.19,42373.93,423.7393,168.25,0.461,81.85,14.5,3.03,-68165.43,-1.63,-313910.72,-7.39,-0.04,0,0,0,PROMISING,TIER_2,23,10000,4247393.19,2240_days,10-02-2020,30-03-2026,0.06%,584,tv_backtester_jan_2024
HA Trend BINANCEUSDT.P 2026-04-03,AVAX,4h,2154389.52,21543.9,215.439,168.04,0.4604,83.64,19.96,3.35,-15745.09,-1.61,-113636.15,-5.25,0,0,0,0,PROMISING,TIER_2,24,10000,2164389.52,1992_days,15-10-2020,30-03-2026,0.06%,489,tv_backtester_jan_2024
HA Trend BINANCEUSDT.P 2026-04-03,SUI,4h,136079.73,1360.8,13.608,155.53,0.4261,81.82,5.72,3.22,-3528.9,-3.22,-28809.92,-19.72,0,0,0,0,PROMISING,TIER_2,64,10000,146079.73,1044_days,23-05-2023,02-04-2026,0.06%,264,tv_backtester_jan_2024
KC Breakout BINANCEUSDT 2026-04-03,ETH,4h,27418504.23,274185.04,2741.8504,152.27,0.4172,83.65,25.53,2.56,-384011.07,-1.63,-1117588.99,-4.07,-60.03,-0.6,0,0,PROMISING,TIER_2,12,10000,27428504.23,3125_days,05-09-2017,27-03-2026,0.06%,624,tv_backtester_jan_2024
HA Trend BINANCEUSDT.P 2026-04-03,DOT,4h,1421006.35,14210.06,142.1006,144.37,0.3955,78.06,7.03,2.71,-99082.6,-6.48,-235608.79,-15.4,0,0,-99082.6,-6.48,PROMISING,TIER_2,26,10000,1431006.35,2029_days,10-09-2020,01-04-2026,0.06%,547,tv_backtester_jan_2024
KC Breakout BINANCEUSDT 2026-04-03,LDO,4h,279230.67,2792.31,27.9231,142.71,0.391,81.93,6.89,2.64,-6789.1,-3.06,-47419.97,-16.4,0,0,0,0,PROMISING,TIER_2,47,10000,289230.67,1386_days,15-06-2022,01-04-2026,0.06%,249,tv_backtester_jan_2024
