Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,CAGR_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Win_Rate_Adjusted,Profit_Factor,Sharpe_Ratio,Avg_Win_USD,Avg_Loss_USD,Win_Loss_Ratio,Trades_Per_Year,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,WR_Flag,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
G34 Chandelier Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,OP,4h,213696000.4,2136960,21369.6,1326.77,0.7304,80.35,80.35,5.46,2.51,402440.41,301196.66,1.34,215.7,-25511456.54,-10.66,-47890269.09,-20.02,-338.12,-3.38,-25511456.54,-10.66,HIGH_WR,PROMISING,TIER_2,56,10000,213706000.4,1370_days,26-06-2022,27-03-2026,0.06%,809,tv_backtester_jan_2024
G23 Donchian CCI Lite [Webhook] BINANCEUSDT.P 2026-04-08,DOT,4h,179367704.3,1793677.04,17936.7704,484.11,0.4844,78.99,78.99,5.4,1.68,370541.54,257809.96,1.44,135.5,-31230518.59,-14.83,-40733973.24,-19.34,0,0,-31230518.59,-14.83,,PROMISING,TIER_2,57,10000,179377704.3,2027_days,12-09-2020,02-04-2026,0.06%,752,tv_backtester_jan_2024
G23 Donchian CCI Lite [Webhook] BINANCEUSDT.P 2026-04-08,AVAX,4h,179009654.8,1790096.55,17900.9655,496.91,0.4903,80.84,80.84,8.71,2.13,309199.76,149722.51,2.07,147.6,-5211902.2,-3.2,-23206988.73,-12.96,0,0,0,0,HIGH_WR,STRONG,TIER_1,58,10000,179019654.8,2002_days,12-10-2020,07-04-2026,0.06%,809,tv_backtester_jan_2024
G30 ADX DI Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,SOL,4h,158639831,1586398.31,15863.9831,481.34,0.4831,68.13,68.13,8.78,2.42,221563.52,53924.57,4.11,215.8,-3917713.2,-3.22,-20383489.3,-12.85,-2330.89,-23.31,0,0,,STRONG,TIER_1,59,10000,158649831,2007_days,06-10-2020,06-04-2026,0.06%,1186,tv_backtester_jan_2024
G23 Donchian CCI Lite [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,157841784.3,1578417.84,15784.1784,362.96,0.4204,84.32,84.32,15.85,2.03,222261.57,75407.68,2.95,142.5,-2373586.2,-1.61,-10632483.06,-6.74,0,0,0,0,HIGH_WR,STRONG,TIER_1,60,10000,157851784.3,2304_days,16-12-2019,08-04-2026,0.06%,899,tv_backtester_jan_2024
G34 Chandelier Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,SUI,4h,132588863.9,1325888.64,13258.8864,2616.78,0.9081,85,85,11.6,2.85,266718.41,130270.3,2.05,222.6,-1522378.4,-1.62,-12505948.97,-9.43,0,0,0,0,HIGH_WR,EXCEPTIONAL,TIER_1_DEPLOY,61,10000,132598863.9,1050_days,23-05-2023,08-04-2026,0.06%,640,tv_backtester_jan_2024
G11 Donchian CCI Power [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,126225019.5,1262250.2,12622.502,346.84,0.4107,84.2,84.2,15.29,2.13,178411.25,62199.27,2.87,142.5,-1898974.8,-1.61,-8832295.69,-7,0,0,0,0,HIGH_WR,STRONG,TIER_1,62,10000,126235019.5,2304_days,16-12-2019,08-04-2026,0.06%,899,tv_backtester_jan_2024
G15 Aroon Donchian Breakout [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,126225019.5,1262250.2,12622.502,346.84,0.4107,84.2,84.2,15.29,2.13,178411.25,62199.27,2.87,142.5,-1898974.8,-1.61,-8832295.69,-7,0,0,0,0,HIGH_WR,STRONG,TIER_1,63,10000,126235019.5,2304_days,16-12-2019,08-04-2026,0.06%,899,tv_backtester_jan_2024
G15 Aroon Donchian Breakout [Webhook] BINANCEUSDT.P 2026-04-08 (1),ETH,4h,126225019.5,1262250.2,12622.502,346.84,0.4107,84.2,84.2,15.29,2.13,178411.25,62199.27,2.87,142.5,-1898974.8,-1.61,-8832295.69,-7,0,0,0,0,HIGH_WR,STRONG,TIER_1,64,10000,126235019.5,2304_days,16-12-2019,08-04-2026,0.06%,899,tv_backtester_jan_2024
G36 BB Squeeze Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,XRP,4h,116431655.3,1164316.55,11643.1655,353.79,0.4149,73.01,73.01,10.52,1.94,187283.13,48156.91,3.89,152,-2310001.48,-2.67,-12231855.35,-10.5,-29.98,-0.3,0,0,,STRONG,TIER_1,65,10000,116441655.3,2261_days,27-01-2020,06-04-2026,0.06%,941,tv_backtester_jan_2024
