Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period,source_file,period_days,trades_per_day,expected_daily_pct,hits_2pct_daily,composite_score,Elite_Rank
1,VWAP_Break_Entry,AVAXUSDT,4h,10000,15595.36,5595.36,55.95,55.95,55.95,32,17,15,53.12,2.23,5.23,1.62,12.15,A+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h,avax_all_results.csv,166,0.1927710843373494,0.1659,False,0.5313,1
2,Volume_Stochastic_MACD_ADX,BNBUSDT,4h,10000,16699.39,6699.39,66.99,66.99,66.99,28,9,19,32.14,1.96,7.49,2.22,17.32,B+,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",4h,bnb_all_results.csv,364,0.07692307692307693,0.0549,False,0.5039,2
1,Breakout_Retest_Pro,DOTUSDT,4h,10000,15226.65,5226.65,52.27,52.27,52.27,56,25,31,44.64,1.75,3.86,0.88,17.29,A,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h,dot_all_results.csv,166,0.3373493975903614,0.1325,False,0.4729,3
