Strategy,Asset,ROI%/yr,Daily%,WR%,PF,Sharpe,GDD%,NDD%,Trades,Tier
37_Triple_Trend_Filter,BTC,-25.84,-0.0372,31.65,0.86,1.5,87.67,85.02,1403,---
45_DI_Crossover_Pro,SOL,-10.95,-0.0233,36.88,0.94,1.43,59.71,54.4,827,---
31_Micro_Trend_A,ETH,-31.63,-0.0399,38.81,0.84,1.42,91.87,90.9,1636,---
48_Supertrend_Flip_Pro,BTC,-16.33,-0.0295,32.8,0.88,1.31,75.86,68.3,930,---
41_Momentum_Burst_Pro,SOL,-20.35,-0.0352,36.2,0.92,1.3,74.94,72.77,1116,---
37_Triple_Trend_Filter,SOL,-35.29,-0.0446,37.45,0.85,1.26,91.49,91.49,1709,---
34_Nano_Scalp,SOL,-23.61,-0.0381,43.84,0.84,1.25,78.66,78.66,1161,---
35_Precision_Entry,SOL,-44.04,-0.047,41.54,0.86,1.23,96.82,96.35,2116,---
39_ADX_Power_Entry,SOL,-25.3,-0.0393,37.74,0.9,1.22,84.06,81.2,1240,---
32_Micro_Trend_B,SOL,-29.67,-0.0421,41.18,0.88,1.2,90.21,87.03,1418,---
32_Micro_Trend_B,BTC,-29.12,-0.0389,32.75,0.81,1.16,89.84,88.66,1383,---
31_Micro_Trend_A,BTC,-32.06,-0.0401,35.1,0.77,1.06,91.76,91.27,1487,---
48_Supertrend_Flip_Pro,SOL,-24.87,-0.039,35.8,0.9,1.02,81.48,80.88,1120,---
37_Triple_Trend_Filter,LINK,-38.0,-0.0418,37.25,0.91,1.0,97.17,95.04,1831,---
36_Ichi_Super_Combo,SOL,-21.96,-0.0367,37.4,0.87,1.0,75.49,75.49,992,---
49_PSAR_Flip_Ichi,SOL,-18.01,-0.0328,38.31,0.89,0.96,67.14,67.14,830,---
33_Micro_Trend_C,BTC,-30.59,-0.0395,34.52,0.72,0.95,90.52,89.96,1379,---
31_Micro_Trend_A,SOL,-34.68,-0.0444,41.31,0.86,0.93,91.32,90.94,1484,---
44_PSAR_Volume_Surge,LINK,-8.35,-0.0184,36.49,0.91,0.92,67.2,49.15,485,---
40_Keltner_Ichi_PSAR,SOL,-23.11,-0.0377,37.87,0.87,0.89,77.46,77.46,985,---
44_PSAR_Volume_Surge,SOL,-8.04,-0.0183,37.76,0.91,0.87,51.85,42.03,437,---
38_Cloud_Momentum,BNB,-6.81,-0.0156,34.22,0.88,0.84,50.97,40.26,377,---
33_Micro_Trend_C,SOL,-31.69,-0.0431,42.71,0.84,0.83,89.21,88.55,1304,---
38_Cloud_Momentum,SOL,-7.06,-0.0164,37.85,0.91,0.83,52.88,44.51,391,---
34_Nano_Scalp,LINK,-29.65,-0.0391,42.24,0.84,0.76,89.32,88.82,1302,---
31_Micro_Trend_A,LINK,-36.84,-0.0415,40.82,0.87,0.73,95.54,94.28,1639,---
46_EMA_Stack_Full,LINK,-29.32,-0.0389,36.23,0.89,0.72,92.62,88.79,1264,---
50_Ultimate_Alpha,LINK,-41.89,-0.0425,37.16,0.87,0.7,97.79,96.76,1865,---
46_EMA_Stack_Full,SOL,-29.98,-0.0422,37.23,0.86,0.68,87.7,86.91,1155,---
49_PSAR_Flip_Ichi,LINK,-23.15,-0.0355,35.41,0.85,0.57,82.45,81.17,932,---
33_Micro_Trend_C,LINK,-34.22,-0.0408,42.7,0.82,0.57,93.29,92.77,1445,---
36_Ichi_Super_Combo,LINK,-27.48,-0.0381,36.05,0.87,0.56,90.41,86.85,1115,---
45_DI_Crossover_Pro,LINK,-24.08,-0.0361,34.28,0.85,0.45,86.11,82.53,916,---
41_Momentum_Burst_Pro,LINK,-30.75,-0.0396,35.12,0.89,0.45,92.83,89.86,1173,---
39_ADX_Power_Entry,LINK,-36.65,-0.0415,35.58,0.88,0.2,96.72,94.32,1366,---
47_Cloud_Break_Volume,SOL,-9.29,-0.0206,38.76,0.83,0.16,51.88,45.12,258,---
40_Keltner_Ichi_PSAR,LINK,-31.06,-0.0397,36.78,0.85,0.12,92.37,90.4,1101,---
48_Supertrend_Flip_Pro,LINK,-34.89,-0.041,33.96,0.88,0.12,95.34,93.31,1225,---
