Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
246,Volume_Spike_Trend,BTCUSDT,4h,10000,8942.28,-1057.72,-10.58,-1057.72,-1057.72,80,15,65,18.75,0.93,4.73,-0.03,39.69,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
247,Stochastic_Pro_Trade,BTCUSDT,15m,10000,8940.53,-1059.47,-10.59,-1059.47,-1059.47,40,6,34,15.0,0.87,6.18,-0.1,40.22,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
248,EMA_MACD_Stochastic,BTCUSDT,15m,10000,8940.53,-1059.47,-10.59,-1059.47,-1059.47,40,6,34,15.0,0.87,6.18,-0.1,40.22,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
249,Conservative_Entry,BTCUSDT,15m,10000,8934.3,-1065.7,-10.66,-1065.7,-1065.7,125,21,104,16.8,0.93,3.38,-0.02,43.01,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.05, TS:0.008",15m
250,ADX_BB_MACD,BTCUSDT,4h,10000,8926.83,-1073.17,-10.73,-1073.17,-1073.17,69,14,55,20.29,0.92,4.53,-0.06,40.39,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
251,Breakout_ADX_Pro,BTCUSDT,15m,10000,8902.17,-1097.83,-10.98,-1097.83,-1097.83,31,4,27,12.9,0.83,5.4,-0.25,33.31,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",15m
252,High_Momentum_Entry,BTCUSDT,15m,10000,8902.17,-1097.83,-10.98,-1097.83,-1097.83,31,4,27,12.9,0.83,5.4,-0.25,33.31,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",15m
253,BB_Stochastic_Combo,BTCUSDT,1h,10000,8899.71,-1100.29,-11.0,-1100.29,-1100.29,177,29,148,16.38,0.94,2.92,-0.01,41.95,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",1h
254,Support_Resistance_Bounce,BTCUSDT,1h,10000,8899.71,-1100.29,-11.0,-1100.29,-1100.29,177,29,148,16.38,0.94,2.92,-0.01,41.95,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",1h
255,Conservative_Growth,BTCUSDT,15m,10000,8894.52,-1105.48,-11.05,-1105.48,-1105.48,71,11,60,15.49,0.9,4.48,-0.06,42.44,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
256,VWAP_Break_Pro,BTCUSDT,15m,10000,8887.59,-1112.41,-11.12,-1112.41,-1112.41,41,6,35,14.63,0.87,6.16,-0.1,42.48,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
