Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
308,BB_Stochastic_ADX_Trend,BNBUSDT,4h,10000,10637.93,637.93,6.38,6.38,6.38,53,13,40,24.53,1.04,5.65,0.29,45.13,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
309,BB_EMA_VWAP,BNBUSDT,1h,10000,10637.33,637.33,6.37,6.37,6.37,135,25,110,18.52,1.03,3.99,0.14,46.73,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
310,Stochastic_Momentum,BNBUSDT,4h,10000,10629.23,629.23,6.29,6.29,6.29,138,32,106,23.19,1.02,4.35,0.15,55.2,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
311,Supertrend_RSI_MACD_ADX,BNBUSDT,15m,10000,10625.31,625.31,6.25,6.25,6.25,67,13,54,19.4,1.03,6.99,0.34,52.25,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
312,Multi_Indicator,BNBUSDT,15m,10000,10625.31,625.31,6.25,6.25,6.25,67,13,54,19.4,1.03,6.99,0.34,52.25,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
313,EMA_RSI_MACD_ADX,BNBUSDT,15m,10000,10625.31,625.31,6.25,6.25,6.25,67,13,54,19.4,1.03,6.99,0.34,52.25,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
314,Supertrend_Confirm,BNBUSDT,15m,10000,10625.31,625.31,6.25,6.25,6.25,67,13,54,19.4,1.03,6.99,0.34,52.25,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
315,Breakout_VWAP,BNBUSDT,15m,10000,10620.55,620.55,6.21,6.21,6.21,44,10,34,22.73,1.04,8.29,0.48,51.05,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",15m
316,MACD_VWAP_Breakout,BNBUSDT,15m,10000,10620.55,620.55,6.21,6.21,6.21,44,10,34,22.73,1.04,8.29,0.48,51.05,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",15m
317,MACD_BB_Stochastic_ADX,BNBUSDT,4h,10000,10611.65,611.65,6.12,6.12,6.12,31,7,24,22.58,1.08,5.59,0.36,34.53,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
318,Trend_Volume,BNBUSDT,15m,10000,10605.88,605.88,6.06,6.06,6.06,66,13,53,19.7,1.03,7.02,0.34,49.05,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
319,Volume_Trend_Pro,BNBUSDT,15m,10000,10605.88,605.88,6.06,6.06,6.06,66,13,53,19.7,1.03,7.02,0.34,49.05,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
320,Stochastic_Pro,BNBUSDT,1h,10000,10602.44,602.44,6.02,6.02,6.02,197,35,162,17.77,1.02,3.48,0.11,51.15,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
321,Quick_Profit,BNBUSDT,15m,10000,10599.44,599.44,5.99,5.99,5.99,242,45,197,18.6,1.02,3.51,0.1,48.58,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.005, TP:0.035, TS:0.005",15m
322,RSI_VWAP_Trade,BNBUSDT,15m,10000,10587.38,587.38,5.87,5.87,5.87,149,25,124,16.78,1.02,4.76,0.17,56.79,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
323,VWAP_Support_Level,BNBUSDT,15m,10000,10587.38,587.38,5.87,5.87,5.87,149,25,124,16.78,1.02,4.76,0.17,56.79,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
324,BB_Squeeze_Pro,BNBUSDT,15m,10000,10587.38,587.38,5.87,5.87,5.87,149,25,124,16.78,1.02,4.76,0.17,56.79,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
325,RSI_Bounce,BNBUSDT,15m,10000,10587.38,587.38,5.87,5.87,5.87,149,25,124,16.78,1.02,4.76,0.17,56.79,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
326,Support_Bounce,BNBUSDT,15m,10000,10587.38,587.38,5.87,5.87,5.87,149,25,124,16.78,1.02,4.76,0.17,56.79,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
327,VWAP_Reversal,BNBUSDT,15m,10000,10587.38,587.38,5.87,5.87,5.87,149,25,124,16.78,1.02,4.76,0.17,56.79,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
328,Breakout_ADX,BNBUSDT,15m,10000,10576.7,576.7,5.77,5.77,5.77,43,9,34,20.93,1.04,8.77,0.51,52.77,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",15m
329,EMA_Acceleration,BNBUSDT,15m,10000,10564.03,564.03,5.64,5.64,5.64,61,12,49,19.67,1.03,7.18,0.35,47.51,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
330,Supertrend_Reversal,BNBUSDT,15m,10000,10559.83,559.83,5.6,5.6,5.6,150,25,125,16.67,1.02,4.76,0.16,53.67,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
