Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
869,EMA_Pro_Entry,SOLUSDT,15m,10000,10721.82,721.82,7.22,7.22,7.22,8,2,6,25,1.84,4.36,1.11,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.012, TP:0.08, TS:0.012",15m
870,Multi_Signal_Entry,SOLUSDT,15m,10000,10721.82,721.82,7.22,7.22,7.22,8,2,6,25,1.84,4.36,1.11,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.012, TP:0.08, TS:0.012",15m
871,Dual_Stochastic,XRPUSDT,15m,10000,10716.05,716.05,7.16,7.16,7.16,12,3,9,25,1.67,3.16,0.76,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.008, TP:0.06, TS:0.008",15m
872,VWAP_Momentum_Pro,SOLUSDT,15m,10000,10714.43,714.43,7.14,7.14,7.14,8,2,6,25,1.71,4.75,1.12,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",15m
873,ADX_BB_Combo,XRPUSDT,1h,10000,10710.87,710.87,7.11,7.11,7.11,44,9,35,20.45,1.12,4.14,0.34,C,Active,Historical_Parquet,41 days,04-02-2026,18-03-2026,0.10%,"SL:0.01, TP:0.07, TS:0.01",1h
874,ADX_Volatility_Trade,XRPUSDT,1h,10000,10710.87,710.87,7.11,7.11,7.11,44,9,35,20.45,1.12,4.14,0.34,C,Active,Historical_Parquet,41 days,04-02-2026,18-03-2026,0.10%,"SL:0.01, TP:0.07, TS:0.01",1h
875,Bollinger_Squeeze_Entry,BNBUSDT,1h,10000,10709.51,709.51,7.1,7.1,7.1,167,33,134,19.76,1.02,3.68,0.21,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.01, TP:0.07, TS:0.01",1h
876,BB_MACD_Trade,BNBUSDT,1h,10000,10709.51,709.51,7.1,7.1,7.1,167,33,134,19.76,1.02,3.68,0.21,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.01, TP:0.07, TS:0.01",1h
877,High_Momentum_Entry,BNBUSDT,15m,10000,10706.28,706.28,7.06,7.06,7.06,33,7,26,21.21,1.08,6.52,0.51,C,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.02, TP:0.12, TS:0.02",15m
878,Breakout_ADX_Pro,BNBUSDT,15m,10000,10706.28,706.28,7.06,7.06,7.06,33,7,26,21.21,1.08,6.52,0.51,C,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.02, TP:0.12, TS:0.02",15m
