Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
547,VWAP_Support_Level,ADAUSDT,1h,10000,7055.4,-2944.6,-29.45,-29.45,-29.45,123,38,85,30.89,0.6,1.7,-0.26,32.02,C,Inactive,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",1h
548,EMA_Divergence,ADAUSDT,4h,10000,7017.8,-2982.2,-29.82,-29.82,-29.82,154,44,110,28.57,0.81,3.44,-0.17,37.92,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
549,EMA_Retracement,ADAUSDT,4h,10000,7017.8,-2982.2,-29.82,-29.82,-29.82,154,44,110,28.57,0.81,3.44,-0.17,37.92,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
550,BB_Stochastic_MACD_ADX,ADAUSDT,4h,10000,6994.46,-3005.54,-30.06,-30.06,-30.06,55,17,38,30.91,0.64,4.82,-0.55,39.42,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
551,Aggressive_Entry,ADAUSDT,4h,10000,6989.24,-3010.76,-30.11,-30.11,-30.11,55,15,40,27.27,0.58,4.08,-0.59,42.17,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
552,Day_Trade,ADAUSDT,1h,10000,6939.69,-3060.31,-30.6,-30.6,-30.6,129,37,92,28.68,0.62,1.78,-0.26,33.46,C,Inactive,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.05, TS:0.008",1h
553,EMA_Rainbow_Stack,ADAUSDT,4h,10000,6923.15,-3076.85,-30.77,-30.77,-30.77,79,18,61,22.78,0.66,3.11,-0.42,40.05,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
554,ADX_BB_MACD,ADAUSDT,4h,10000,6887.81,-3112.19,-31.12,-31.12,-31.12,58,18,40,31.03,0.61,4.49,-0.56,40.57,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
555,BB_MACD_Trade,ADAUSDT,4h,10000,6830.9,-3169.1,-31.69,-31.69,-31.69,86,29,57,33.72,0.69,4.05,-0.37,46.48,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
556,Bollinger_Squeeze_Entry,ADAUSDT,4h,10000,6830.9,-3169.1,-31.69,-31.69,-31.69,86,29,57,33.72,0.69,4.05,-0.37,46.48,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
557,VWAP_Break_Through,ADAUSDT,1h,10000,6814.5,-3185.5,-31.86,-31.86,-31.86,79,20,59,25.32,0.57,2.8,-0.45,37.49,C,Inactive,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
558,Volume_Profile,ADAUSDT,1h,10000,6814.5,-3185.5,-31.86,-31.86,-31.86,79,20,59,25.32,0.57,2.8,-0.45,37.49,C,Inactive,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
