1772864917.1210032,BTCUSDT,buy,65000
1772880507.9329352,BTCUSD,sell,67962
1772880507.9619095,BTCUSD,sell,67962
1772880507.987646,BTCUSD,sell,67954
1772880508.0188484,BTCUSD,sell,67962
1772880508.1059186,BTCUSD,sell,67962
1772880508.120033,BTCUSD,sell,67962
1772880508.1410148,BTCUSD,sell,67962
1772880595.9138365,BTCUSD,buy,67985
1772880628.2923882,BTCUSD,buy,67985
1772880628.5765595,BTCUSD,buy,67985
1772880628.633474,BTCUSD,buy,67985

1772880628.6495607,BTCUSD,buy,67985
1772880628.6504064,BTCUSD,buy,67985
1772880628.6691525,BTCUSD,buy,67985
1772880695.864276,BTCUSD,sell,67958
1772880722.3660178,BTCUSD,sell,67957
1772880722.420119,BTCUSD,sell,67957
1772880722.431947,BTCUSD,sell,67957
1772880722.4441373,BTCUSD,sell,67957
1772880722.456657,BTCUSD,sell,67957
1772880722.464718,BTCUSD,sell,67957
1772880722.4841428,BTCUSD,sell,67957
1772881923.0930207,BTCUSD,buy,67959
1772881923.1025367,BTCUSD,buy,67959
1772881923.130827,BTCUSD,buy,67959
1772881960.4897926,BTCUSD,sell,68023
2026-03-07 17:51:12,BTCUSDT,buy,68042.0
