Rank,name,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,ROI_per_annum,ROI_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Gross_DD_Percent,Net_DD_Percent,Capital_At_Net_DD,Performance_Grade,Deployment_Status,Score,Data_Source,Time_Period,Time_Start,Time_End,Fees_Exchange,Candle_Period,Parameters
1,Trend_All_Confirm,"Trend_MA50, EMA_Cross, ADX_Trend, Supertrend, MACD_Cross",BNBUSDT,1h,10000,338603.83,328603.83,76.21,3286.04,413,109,304,26.39,1.16,3.1,1.3518,64.35,3.64,9636.28,B,Active,1333.94,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=5.0%, TP=15.0%, TS=3.0%"
2,High_Momentum_Entry,"EMA_Cross, MACD_Cross, Volume_Spike, ADX_Trend, Breakout_20",ETHUSDT,1h,10000,252520.42,242520.42,68.09,2425.2,690,221,469,32.03,1.23,3.84,0.6951,39.93,0.0,10000.0,B,Active,994.0,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=1.5%, TP=15.0%, TS=1.5%"
3,Breakout_ADX_Pro,"Breakout_20, ADX_Trend, Volume_Spike, EMA_Cross, MACD_Cross",ETHUSDT,1h,10000,252520.42,242520.42,68.09,2425.2,690,221,469,32.03,1.23,3.84,0.6951,39.93,0.0,10000.0,B,Active,994.0,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=1.5%, TP=15.0%, TS=1.5%"
4,High_Profit_Trade,"EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP, Trend_MA50",BNBUSDT,1h,10000,251570.09,241570.09,67.99,2415.7,792,109,683,13.76,1.11,3.18,0.6977,76.55,1.39,9861.3,B,Active,981.47,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=1.5%, TP=15.0%, TS=1.0%"
5,Trend_Follower_Multi,"EMA_Cross, MACD_Cross, ADX_Trend, Trend_MA50",BNBUSDT,1h,10000,238636.36,228636.36,66.57,2286.36,1352,396,956,29.29,1.08,3.64,0.4319,68.35,0.47,9953.15,B,Active,934.12,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=1.5%, TP=15.0%, TS=1.5%"
6,Golden_Cross_Pro,"EMA_Cross, MACD_Cross, ADX_Trend, Trend_MA50",BNBUSDT,1h,10000,220415.17,210415.17,64.45,2104.15,1278,400,878,31.3,1.09,3.52,0.4466,69.02,0.47,9953.15,B,Active,861.91,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=2.0%, TP=15.0%, TS=2.0%"
7,Stochastic_Trend_MACD,"Stochastic, Trend_MA50, MACD_Cross, EMA_Cross, ADX_Trend",SOLUSDT,1h,10000,158581.92,148581.92,63.74,1485.82,957,288,669,30.09,1.1,2.78,0.6061,63.77,36.87,6312.56,B,Active,614.32,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,1h,"SL=2.5%, TP=15.0%, TS=2.5%"
8,EMA_Break_Momentum,"EMA_Cross, Breakout_20, MACD_Cross, ADX_Trend",BNBUSDT,1h,10000,167935.14,157935.14,57.41,1579.35,1095,388,707,35.43,1.09,3.42,0.4607,69.3,0.55,9944.8,B,Active,653.27,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=2.5%"
9,Trend_All_Confirm,"Trend_MA50, EMA_Cross, ADX_Trend, Supertrend, MACD_Cross",ETHUSDT,1h,10000,160618.89,150618.89,56.29,1506.19,455,116,339,25.49,1.08,2.66,1.0795,71.62,0.0,10000.0,B,Active,620.89,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=5.0%, TP=15.0%, TS=3.0%"
10,EMA_Break_Momentum,"EMA_Cross, Breakout_20, MACD_Cross, ADX_Trend",SOLUSDT,1h,10000,105417.98,95417.98,52.24,954.18,1278,390,888,30.52,1.05,2.67,0.4674,92.1,47.35,5265.08,B,Active,401.35,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=2.5%"
11,Aggressive_Growth,"EMA_Cross, MACD_Cross, Volume_Spike, Breakout_20, ADX_Trend, VWAP",BNBUSDT,1h,10000,130177.27,120177.27,51.1,1201.77,490,126,364,25.71,1.11,2.53,0.9787,75.55,0.55,9944.8,B,Active,499.57,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=4.0%, TP=15.0%, TS=3.0%"
12,ADX_Stochastic_VWAP,"ADX_Trend, Stochastic, VWAP, BB_Lower, Volume_Spike",BNBUSDT,1h,10000,124423.15,114423.15,50.0,1144.23,973,218,755,22.4,1.08,2.86,0.5197,66.48,35.39,6460.5,B,Active,475.19,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=1.5%, TP=10.0%, TS=1.5%"
13,Breakout_Multi_Signal,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross, Supertrend",ETHUSDT,1h,10000,121743.16,111743.16,49.48,1117.43,394,90,304,22.84,1.1,2.59,1.0646,77.16,0.0,10000.0,B,Active,464.85,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=2.5%, TP=15.0%, TS=2.5%"
14,Breakout_Cluster,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross",ETHUSDT,1h,10000,119539.65,109539.65,49.04,1095.4,996,318,678,31.93,1.12,3.32,0.4416,48.9,0.0,10000.0,B,Active,459.17,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=2.0%, TP=15.0%, TS=2.5%"
15,Breakout_Cluster,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross",AVAXUSDT,1h,10000,84061.64,74061.64,47.38,740.62,990,282,708,28.48,1.1,2.61,0.4645,54.31,32.99,6700.75,B,Active,315.74,Binance Spot,2020-09-22 to 2026-03-20,2020-09-22,2026-03-20,0.1%,1h,"SL=2.0%, TP=15.0%, TS=2.5%"
16,Supertrend_BB_Entry,"Supertrend, BB_Lower, EMA_Cross, MACD_Cross, RSI_Oversold",ETHUSDT,1h,10000,106426.58,96426.58,46.28,964.27,452,78,374,17.26,1.19,2.65,0.8632,53.82,0.0,10000.0,B,Active,402.82,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=1.5%"
17,High_Profit_Trade,"EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP, Trend_MA50",ETHUSDT,1h,10000,101265.95,91265.95,45.11,912.66,888,114,774,12.84,1.06,2.66,0.5285,65.24,1.06,9894.06,B,Active,379.51,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=1.5%, TP=15.0%, TS=1.0%"
18,Breakout_Confirmation,"Breakout_20, Supertrend, MACD_Cross",ETHUSDT,1h,10000,101114.37,91114.37,45.08,911.14,1100,273,827,24.82,1.04,2.66,0.4945,78.43,2.55,9745.13,B,Active,382.27,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=2.0%, TP=10.0%, TS=2.5%"
