Rank,name,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,ROI_per_annum,ROI_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Gross_DD_Percent,Net_DD_Percent,Capital_At_Net_DD,Performance_Grade,Deployment_Status,Score,Data_Source,Time_Period,Time_Start,Time_End,Fees_Exchange,Candle_Period,Parameters
90,Volume_Stochastic_MACD_ADX,"Volume_Spike, Stochastic, MACD_Cross, ADX_Trend, Trend_MA50, Supertrend",XRPUSDT,4h,10000,30851.42,20851.42,19.86,208.51,265,52,213,19.62,1.08,1.62,0.9003,62.32,0.0,10000.0,B,Active,100.09,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=2.0%"
91,Volume_Stochastic_MACD_ADX,"Volume_Spike, Stochastic, MACD_Cross, ADX_Trend, Trend_MA50, Supertrend",ADAUSDT,4h,10000,30500.15,20500.15,19.64,205.0,310,65,245,20.97,1.09,1.65,0.8194,61.03,19.19,8080.55,B,Active,99.16,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=2.0%"
92,MACD_Trend_Strength,"MACD_Cross, Trend_MA50, ADX_Trend, EMA_Cross, Volume_Spike",ADAUSDT,4h,10000,28957.33,18957.33,18.65,189.57,529,144,385,27.22,1.03,1.75,0.5432,74.13,0.12,9987.63,B,Active,94.28,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=10.0%, TS=2.5%"
93,Breakout_Volume_ADX,"Breakout_20, Volume_Spike, ADX_Trend, Supertrend, VWAP",LINKUSDT,4h,10000,28472.79,18472.79,18.33,184.73,812,152,660,18.72,1.01,1.85,0.5426,89.44,4.06,9594.25,B,Active,89.64,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=1.5%, TP=15.0%, TS=2.5%"
94,Volume_Trend_ADX,"Volume_Spike, Trend_MA50, ADX_Trend, EMA_Cross, MACD_Cross",AVAXUSDT,4h,10000,25178.39,15178.39,18.32,151.78,460,103,357,22.39,1.04,1.59,0.6694,69.1,48.37,5163.28,B,Active,77.84,Binance Spot,2020-09-22 to 2026-03-20,2020-09-22,2026-03-20,0.1%,4h,"SL=3.0%, TP=15.0%, TS=2.5%"
95,EMA_Break_Momentum,"EMA_Cross, Breakout_20, MACD_Cross, ADX_Trend",SOLUSDT,4h,10000,25665.82,15665.82,18.32,156.66,587,140,447,23.85,1.04,1.67,0.5568,76.47,30.15,6985.25,B,Active,80.22,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=2.0%, TP=15.0%, TS=2.5%"
96,Breakout_Cluster,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross",LINKUSDT,4h,10000,28427.97,18427.97,18.3,184.28,389,88,301,22.62,1.04,1.68,0.6043,70.27,1.99,9800.78,B,Active,90.94,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=1.5%"
97,Volume_Trend_ADX,"Volume_Spike, Trend_MA50, ADX_Trend, EMA_Cross, MACD_Cross",ADAUSDT,4h,10000,27809.77,17809.77,17.88,178.1,452,109,343,24.12,1.03,1.65,0.6381,72.53,0.12,9987.63,B,Active,88.77,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=15.0%, TS=2.5%"
98,Breakout_Cluster,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross",DOTUSDT,4h,10000,24482.87,14482.87,17.39,144.83,330,75,255,22.73,1.11,1.57,0.5923,67.59,5.89,9411.27,B,Active,75.84,Binance Spot,2020-08-18 to 2026-03-20,2020-08-18,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=1.5%"
99,Breakout_Thermo,"Breakout_20, Volume_Spike, ADX_Trend, Trend_MA50",XRPUSDT,4h,10000,27067.04,17067.04,17.37,170.67,711,144,567,20.25,1.03,1.75,0.4617,79.64,0.0,10000.0,B,Active,84.63,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=1.0%, TP=15.0%, TS=3.0%"
