Rank,name,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,ROI_per_annum,ROI_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Gross_DD_Percent,Net_DD_Percent,Capital_At_Net_DD,Performance_Grade,Deployment_Status,Score,Data_Source,Time_Period,Time_Start,Time_End,Fees_Exchange,Candle_Period,Parameters
17,Aggressive_Growth,"EMA_Cross, MACD_Cross, Volume_Spike, Breakout_20, ADX_Trend, VWAP",ETHUSDT,4h,10000,70706.65,60706.65,36.97,607.07,592,145,447,24.49,1.06,2.44,0.6263,62.0,0.9,9910.32,B,Active,260.75,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=1.5%, TP=10.0%, TS=2.0%"
18,Conservative_Growth,"EMA_Cross, ADX_Trend, Trend_MA50, VWAP",BTCUSDT,4h,10000,70693.53,60693.53,36.96,606.94,436,133,303,30.5,1.12,2.39,0.7919,69.43,1.92,9807.95,B,Active,263.16,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=5.0%, TP=10.0%, TS=2.5%"
19,EMA_Cloud_Strength,"EMA_Cross, Trend_MA50, ADX_Trend",BNBUSDT,4h,10000,68281.66,58281.66,36.2,582.82,411,108,303,26.28,1.14,2.29,0.8355,70.12,1.54,9846.04,B,Active,252.4,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=2.0%"
20,Trend_Acceleration,"EMA_Cross, ADX_Trend, Volume_Spike, Trend_MA50",XRPUSDT,4h,10000,67752.61,57752.61,36.03,577.53,1128,368,760,32.62,1.03,2.62,0.3994,83.9,0.74,9925.62,B,Active,251.14,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=1.5%, TP=5.0%, TS=2.0%"
21,Breakout_Hunter,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",BNBUSDT,4h,10000,67272.47,57272.47,35.88,572.72,425,151,274,35.53,1.12,2.38,0.7909,60.75,0.0,10000.0,B,Active,250.95,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=8.0%, TS=2.5%"
22,Momentum_Burst,"EMA_Cross, Volume_Spike, MACD_Cross",ADAUSDT,4h,10000,65523.58,55523.58,35.3,555.24,993,315,678,31.72,1.03,2.41,0.4565,77.31,0.12,9987.63,B,Active,241.91,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=3.0%"
23,Breakout_Momentum,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",ADAUSDT,4h,10000,64958.91,54958.91,35.11,549.59,540,97,443,17.96,1.05,2.16,0.7557,72.57,0.0,10000.0,B,Active,235.75,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=1.5%, TP=15.0%, TS=2.0%"
24,Triple_Confirmation,"EMA_Cross, MACD_Cross, RSI_Oversold",BNBUSDT,4h,10000,64921.25,54921.25,35.1,549.21,894,353,541,39.49,1.11,2.55,0.4394,67.53,1.54,9846.04,B,Active,242.66,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=15.0%, TS=3.0%"
25,MACD_Divergence,"MACD_Cross, EMA_Cross, BB_Lower",BNBUSDT,4h,10000,63792.74,53792.74,34.72,537.93,916,394,522,43.01,1.1,2.53,0.4355,66.67,3.82,9617.63,B,Active,239.04,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=3.0%"
26,Volume_Profile_Breakout,"Volume_Spike, Breakout_20, ADX_Trend",BNBUSDT,4h,10000,63370.59,53370.59,34.58,533.71,811,355,456,43.77,1.08,2.32,0.5391,77.28,28.42,7158.19,B,Active,237.39,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=3.0%"
27,EMA_Cloud_Strength,"EMA_Cross, Trend_MA50, ADX_Trend",SOLUSDT,4h,10000,51969.93,41969.93,34.19,419.7,624,143,481,22.92,1.05,2.04,0.6974,67.39,46.25,5374.66,B,Active,185.29,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=2.0%"
