Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,ROI/annum,ROI_Percent,ROI_per_annum%,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Data_Source,Paramters: Candle period
43,Bollinger_MeanReversion,AVAX/USDT,1h,10000,9780.71,-219.29,-1952.2,-2.19,-19.52,34,21,13,61.76,Binance,1h
44,Bollinger_MeanReversion,ETH/USDT,4h,10000,9056.93,-943.07,-2073.61,-9.43,-20.74,30,17,13,56.67,Binance,4h
45,Momentum,BTC/USDT,1h,10000,9747.07,-252.93,-2251.67,-2.53,-22.52,69,20,49,28.99,Binance,1h
46,ATR_Breakout,BTC/USDT,1h,10000,9740.86,-259.14,-2306.94,-2.59,-23.07,44,18,26,40.91,Binance,1h
47,MACD_Crossover,BTC/USDT,4h,10000,8916.31,-1083.69,-2382.82,-10.84,-23.83,31,11,20,35.48,Binance,4h
48,Momentum,ETH/USDT,4h,10000,8884.12,-1115.88,-2453.58,-11.16,-24.54,70,29,41,41.43,Binance,4h
49,Bollinger_MeanReversion,SOL/USDT,4h,10000,8781.89,-1218.11,-2678.37,-12.18,-26.78,35,19,16,54.29,Binance,4h
50,ATR_Breakout,LINK/USDT,4h,10000,8709.88,-1290.12,-2836.7,-12.9,-28.37,44,22,22,50.0,Binance,4h
51,RSI_Trend,BTC/USDT,4h,10000,8691.99,-1308.01,-2876.05,-13.08,-28.76,59,20,39,33.9,Binance,4h
52,ATR_Breakout,SOL/USDT,4h,10000,8657.85,-1342.15,-2951.11,-13.42,-29.51,46,21,25,45.65,Binance,4h
53,Bollinger_Breakout,SOL/USDT,4h,10000,8551.84,-1448.16,-3184.22,-14.48,-31.84,24,7,17,29.17,Binance,4h
54,Volume_Spike,SOL/USDT,15m,10000,9912.74,-87.26,-3184.99,-0.87,-31.85,62,28,34,45.16,Binance,15m
55,RSI_Trend,AVAX/USDT,1h,10000,9631.09,-368.91,-3284.17,-3.69,-32.84,60,13,47,21.67,Binance,1h
56,ATR_Breakout,AVAX/USDT,4h,10000,8363.93,-1636.07,-3597.39,-16.36,-35.97,45,14,31,31.11,Binance,4h
57,Momentum,BTC/USDT,4h,10000,8337.05,-1662.95,-3656.48,-16.63,-36.56,71,19,52,26.76,Binance,4h
58,Volume_Spike,BTC/USDT,4h,10000,8320.16,-1679.84,-3693.62,-16.8,-36.94,67,31,36,46.27,Binance,4h
59,RSI_Trend,ETH/USDT,1h,10000,9583.11,-416.89,-3711.32,-4.17,-37.11,54,13,41,24.07,Binance,1h
60,RSI_Oversold,AVAX/USDT,4h,10000,8293.11,-1706.89,-3753.09,-17.07,-37.53,45,22,23,48.89,Binance,4h
61,Bollinger_MeanReversion,LINK/USDT,4h,10000,8188.87,-1811.13,-3982.3,-18.11,-39.82,29,15,14,51.72,Binance,4h
62,RSI_Trend,LINK/USDT,1h,10000,9534.49,-465.51,-4144.2,-4.66,-41.44,57,14,43,24.56,Binance,1h
63,Stochastic_Overbought,AVAX/USDT,4h,10000,8025.11,-1974.89,-4342.38,-19.75,-43.42,56,15,41,26.79,Binance,4h
64,Stochastic_Oversold,SOL/USDT,15m,10000,9874.17,-125.83,-4592.96,-1.26,-45.93,81,49,32,60.49,Binance,15m
65,Bollinger_MeanReversion,LINK/USDT,1h,10000,9479.9,-520.1,-4630.13,-5.2,-46.3,35,19,16,54.29,Binance,1h
66,MACD_Crossover,LINK/USDT,1h,10000,9475.66,-524.34,-4667.89,-5.24,-46.68,41,12,29,29.27,Binance,1h
67,Bollinger_MeanReversion,ETH/USDT,15m,10000,9871.94,-128.06,-4674.12,-1.28,-46.74,29,16,13,55.17,Binance,15m
68,EMA_RSI_Filter,AVAX/USDT,15m,10000,9871.14,-128.86,-4703.38,-1.29,-47.03,23,10,13,43.48,Binance,15m
69,ATR_Breakout,AVAX/USDT,1h,10000,9457.71,-542.29,-4827.66,-5.42,-48.28,45,19,26,42.22,Binance,1h
70,Stochastic_Oversold,LINK/USDT,1h,10000,9440.16,-559.84,-4983.98,-5.6,-49.84,73,47,26,64.38,Binance,1h
71,Bollinger_MeanReversion,BTC/USDT,4h,10000,7676.28,-2323.72,-5109.38,-23.24,-51.09,32,10,22,31.25,Binance,4h
72,Momentum,LINK/USDT,1h,10000,9422.68,-577.32,-5139.58,-5.77,-51.4,73,21,52,28.77,Binance,1h
73,RSI_Oversold,ETH/USDT,4h,10000,7612.3,-2387.7,-5250.05,-23.88,-52.5,36,20,16,55.56,Binance,4h
74,Stochastic_Overbought,LINK/USDT,4h,10000,7561.23,-2438.77,-5362.36,-24.39,-53.62,57,14,43,24.56,Binance,4h
75,RSI_Oversold,BTC/USDT,15m,10000,9851.56,-148.44,-5418.1,-1.48,-54.18,36,16,20,44.44,Binance,15m
76,RSI_Oversold,AVAX/USDT,15m,10000,9850.45,-149.55,-5458.46,-1.5,-54.58,28,20,8,71.43,Binance,15m
77,MACD_Crossover,ETH/USDT,1h,10000,9381.31,-618.69,-5507.81,-6.19,-55.08,34,10,24,29.41,Binance,1h
78,Stochastic_Oversold,BTC/USDT,4h,10000,7438.9,-2561.1,-5631.33,-25.61,-56.31,72,40,32,55.56,Binance,4h
79,Stochastic_Overbought,ETH/USDT,4h,10000,7338.1,-2661.9,-5852.97,-26.62,-58.53,69,20,49,28.99,Binance,4h
80,Volume_Spike,SOL/USDT,4h,10000,7317.5,-2682.5,-5898.28,-26.83,-58.98,50,25,25,50.0,Binance,4h
81,RSI_Trend,ETH/USDT,4h,10000,7306.61,-2693.39,-5922.22,-26.93,-59.22,55,19,36,34.55,Binance,4h
82,Momentum,LINK/USDT,4h,10000,7155.05,-2844.95,-6255.46,-28.45,-62.55,75,26,49,34.67,Binance,4h
83,Volume_Spike,AVAX/USDT,4h,10000,7133.97,-2866.03,-6301.81,-28.66,-63.02,54,25,29,46.3,Binance,4h
84,RSI_Trend,BTC/USDT,1h,10000,9246.85,-753.15,-6704.86,-7.53,-67.05,57,13,44,22.81,Binance,1h
85,EMA_RSI_Filter,LINK/USDT,15m,10000,9816.1,-183.9,-6712.35,-1.84,-67.12,21,8,13,38.1,Binance,15m
86,MACD_Crossover,ETH/USDT,4h,10000,6933.92,-3066.08,-6741.68,-30.66,-67.42,38,14,24,36.84,Binance,4h
87,Stochastic_Oversold,ETH/USDT,4h,10000,6878.56,-3121.44,-6863.42,-31.21,-68.63,69,41,28,59.42,Binance,4h
88,Bollinger_MeanReversion,AVAX/USDT,4h,10000,6873.37,-3126.63,-6874.82,-31.27,-68.75,27,14,13,51.85,Binance,4h
89,Supertrend,AVAX/USDT,1h,10000,9224.76,-775.24,-6901.56,-7.75,-69.02,20,5,15,25.0,Binance,1h
90,EMA_Crossover,AVAX/USDT,1h,10000,9224.76,-775.24,-6901.56,-7.75,-69.02,20,5,15,25.0,Binance,1h
91,Trend_Strength,AVAX/USDT,1h,10000,9224.76,-775.24,-6901.56,-7.75,-69.02,20,5,15,25.0,Binance,1h
92,Bollinger_Breakout,LINK/USDT,15m,10000,9809.51,-190.49,-6952.72,-1.9,-69.53,25,8,17,32.0,Binance,15m
