Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
451,Exit long,2026-02-15 23:00,TP/SL,68672.7,1,69004.5,-331.8,-0.48,244.3,0.35,-331.8,-0.48,2374.8,0.24
451,Entry long,2026-02-15 22:00,BUY,69004.5,1,69004.5,-331.8,-0.48,244.3,0.35,-331.8,-0.48,2374.8,0.24
452,Exit short,2026-02-16 09:00,TP/SL,69053.9,1,68710.1,-343.8,-0.50,440.7,0.64,-343.8,-0.50,2031,0.20
452,Entry short,2026-02-16 01:45,SELL,68710.1,1,68710.1,-343.8,-0.50,440.7,0.64,-343.8,-0.50,2031,0.20
453,Exit short,2026-02-16 11:45,TP/SL,68952.8,1,68688.1,-264.7,-0.39,0,0.00,-264.7,-0.39,1766.3,0.18
453,Entry short,2026-02-16 11:45,SELL,68688.1,1,68688.1,-264.7,-0.39,0,0.00,-264.7,-0.39,1766.3,0.18
454,Exit long,2026-02-16 12:15,TP/SL,69502.2,1,68904.4,597.8,0.87,597.8,0.87,0,0.00,2364.1,0.24
454,Entry long,2026-02-16 12:00,BUY,68904.4,1,68904.4,597.8,0.87,597.8,0.87,0,0.00,2364.1,0.24
455,Exit short,2026-02-16 15:30,TP/SL,67462.8,1,68502.3,1039.5,1.52,1039.5,1.52,-269.1,-0.39,3403.6,0.34
455,Entry short,2026-02-16 14:00,SELL,68502.3,1,68502.3,1039.5,1.52,1039.5,1.52,-269.1,-0.39,3403.6,0.34
456,Exit long,2026-02-16 23:45,TP/SL,69003.7,1,68302.1,701.6,1.03,701.6,1.03,-27.3,-0.04,4105.2,0.41
456,Entry long,2026-02-16 20:45,BUY,68302.1,1,68302.1,701.6,1.03,701.6,1.03,-27.3,-0.04,4105.2,0.41
457,Exit short,2026-02-17 10:15,TP/SL,67932.2,1,68617.2,685,1.00,685,1.00,-132.7,-0.19,4790.2,0.48
457,Entry short,2026-02-17 03:45,SELL,68617.2,1,68617.2,685,1.00,685,1.00,-132.7,-0.19,4790.2,0.48
458,Exit long,2026-02-17 14:30,TP/SL,67854.2,1,68214.3,-360.1,-0.53,223.1,0.33,-360.1,-0.53,4430.1,0.44
458,Entry long,2026-02-17 14:00,BUY,68214.3,1,68214.3,-360.1,-0.53,223.1,0.33,-360.1,-0.53,4430.1,0.44
459,Exit short,2026-02-17 16:00,TP/SL,67634.1,1,67179.3,-454.8,-0.68,481.9,0.72,-454.8,-0.68,3975.3,0.40
459,Entry short,2026-02-17 14:45,SELL,67179.3,1,67179.3,-454.8,-0.68,481.9,0.72,-454.8,-0.68,3975.3,0.40
460,Exit long,2026-02-18 00:45,TP/SL,67469.6,1,68065.4,-595.8,-0.88,272.9,0.40,-595.8,-0.88,3379.5,0.34
460,Entry long,2026-02-17 18:45,BUY,68065.4,1,68065.4,-595.8,-0.88,272.9,0.40,-595.8,-0.88,3379.5,0.34
461,Exit long,2026-02-18 07:45,TP/SL,68264.5,1,67733.1,531.4,0.78,531.4,0.78,-131.4,-0.19,3910.9,0.39
461,Entry long,2026-02-18 03:45,BUY,67733.1,1,67733.1,531.4,0.78,531.4,0.78,-131.4,-0.19,3910.9,0.39
462,Exit short,2026-02-18 11:00,TP/SL,67399.1,1,67880.5,481.4,0.71,481.4,0.71,-26.2,-0.04,4392.3,0.44
462,Entry short,2026-02-18 11:00,SELL,67880.5,1,67880.5,481.4,0.71,481.4,0.71,-26.2,-0.04,4392.3,0.44
463,Exit long,2026-02-18 16:00,TP/SL,67331.1,1,67732.7,-401.6,-0.59,59.7,0.09,-401.6,-0.59,3990.7,0.40
463,Entry long,2026-02-18 16:00,BUY,67732.7,1,67732.7,-401.6,-0.59,59.7,0.09,-401.6,-0.59,3990.7,0.40
464,Exit short,2026-02-18 19:30,TP/SL,66136.5,1,67097.6,961.1,1.43,961.1,1.43,-486.6,-0.73,4951.8,0.50
464,Entry short,2026-02-18 16:15,SELL,67097.6,1,67097.6,961.1,1.43,961.1,1.43,-486.6,-0.73,4951.8,0.50
465,Exit long,2026-02-19 04:00,TP/SL,67121.7,1,66635.3,486.4,0.73,486.4,0.73,-20.1,-0.03,5438.2,0.54
465,Entry long,2026-02-19 01:00,BUY,66635.3,1,66635.3,486.4,0.73,486.4,0.73,-20.1,-0.03,5438.2,0.54
466,Exit short,2026-02-19 12:00,TP/SL,66460.5,1,66950.4,489.9,0.73,489.9,0.73,-80.4,-0.12,5928.1,0.59
466,Entry short,2026-02-19 10:15,SELL,66950.4,1,66950.4,489.9,0.73,489.9,0.73,-80.4,-0.12,5928.1,0.59
467,Exit long,2026-02-20 05:30,TP/SL,67730.2,1,66738.5,991.7,1.49,991.7,1.49,-444.8,-0.67,6919.8,0.69
467,Entry long,2026-02-19 17:15,BUY,66738.5,1,66738.5,991.7,1.49,991.7,1.49,-444.8,-0.67,6919.8,0.69
468,Exit short,2026-02-20 13:30,TP/SL,67015.6,1,67563.6,548,0.81,548,0.81,-160.2,-0.24,7467.8,0.75
468,Entry short,2026-02-20 11:45,SELL,67563.6,1,67563.6,548,0.81,548,0.81,-160.2,-0.24,7467.8,0.75
469,Exit long,2026-02-20 17:00,TP/SL,67243.4,1,67921.3,-677.9,-1.00,126.7,0.19,-677.9,-1.00,6789.9,0.68
469,Entry long,2026-02-20 16:15,BUY,67921.3,1,67921.3,-677.9,-1.00,126.7,0.19,-677.9,-1.00,6789.9,0.68
470,Exit short,2026-02-20 18:00,TP/SL,67833.4,1,67155.4,-678,-1.01,76.9,0.11,-678,-1.01,6111.9,0.61
470,Entry short,2026-02-20 17:30,SELL,67155.4,1,67155.4,-678,-1.01,76.9,0.11,-678,-1.01,6111.9,0.61
471,Exit short,2026-02-21 05:00,TP/SL,67970.3,1,67745.5,-224.8,-0.33,33.1,0.05,-224.8,-0.33,5887.1,0.59
471,Entry short,2026-02-21 03:45,SELL,67745.5,1,67745.5,-224.8,-0.33,33.1,0.05,-224.8,-0.33,5887.1,0.59
472,Exit long,2026-02-21 09:15,TP/SL,68343.6,1,68039.9,303.7,0.45,303.7,0.45,-160.1,-0.24,6190.8,0.62
472,Entry long,2026-02-21 06:15,BUY,68039.9,1,68039.9,303.7,0.45,303.7,0.45,-160.1,-0.24,6190.8,0.62
473,Exit short,2026-02-21 22:00,TP/SL,68552.1,1,68398.4,-153.7,-0.22,54.6,0.08,-153.7,-0.22,6037.1,0.60
473,Entry short,2026-02-21 21:00,SELL,68398.4,1,68398.4,-153.7,-0.22,54.6,0.08,-153.7,-0.22,6037.1,0.60
474,Exit long,2026-02-22 12:45,TP/SL,68039.4,1,68201.2,-161.8,-0.24,203.8,0.30,-161.8,-0.24,5875.3,0.59
474,Entry long,2026-02-22 06:45,BUY,68201.2,1,68201.2,-161.8,-0.24,203.8,0.30,-161.8,-0.24,5875.3,0.59
475,Exit long,2026-02-23 00:15,TP/SL,67565.7,1,67699.8,-134.1,-0.20,159.7,0.24,-134.1,-0.20,5741.2,0.57
475,Entry long,2026-02-22 21:45,BUY,67699.8,1,67699.8,-134.1,-0.20,159.7,0.24,-134.1,-0.20,5741.2,0.57
476,Exit short,2026-02-23 00:45,TP/SL,66854.8,1,67269.2,414.4,0.62,414.4,0.62,0,0.00,6155.6,0.62
476,Entry short,2026-02-23 00:45,SELL,67269.2,1,67269.2,414.4,0.62,414.4,0.62,0,0.00,6155.6,0.62
477,Exit long,2026-02-23 10:00,TP/SL,66644.9,1,65833.5,811.4,1.23,811.4,1.23,-185.5,-0.28,6967,0.70
477,Entry long,2026-02-23 07:00,BUY,65833.5,1,65833.5,811.4,1.23,811.4,1.23,-185.5,-0.28,6967,0.70
