Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
286,Entry long,2017-08-01 04:00,Long,2865,0.000003,0.008595,-0.0002,-1.87,0.0002,2.13,-0.0002,-1.77,-9999.99,-100.00
287,Exit long,2017-08-05 00:00,Long Exit,2912,0.000003,0.008484,0.0002,2.76,0.0002,2.87,-0.00002,-0.21,-9999.99,-100.00
287,Entry long,2017-08-04 20:00,Long,2828,0.000003,0.008484,0.0002,2.76,0.0002,2.87,-0.00002,-0.21,-9999.99,-100.00
288,Exit long,2017-08-11 20:00,Long Exit,3646,0.000002,0.007082,0.0002,2.76,0.0002,2.86,-0.00003,-0.44,-9999.99,-100.00
288,Entry long,2017-08-11 20:00,Long,3541,0.000002,0.007082,0.0002,2.76,0.0002,2.86,-0.00003,-0.44,-9999.99,-100.00
289,Exit short,2017-08-19 12:00,Short Exit,4017,0.000002,0.007906,-0.0001,-1.82,0.0001,1.24,-0.0001,-1.72,-9999.99,-100.00
289,Entry short,2017-08-19 12:00,Short,3953,0.000002,0.007906,-0.0001,-1.82,0.0001,1.24,-0.0001,-1.72,-9999.99,-100.00
290,Exit long,2017-08-23 08:00,Long Exit,4220,0.000002,0.008198,0.0002,2.75,0.0002,2.85,-0.00004,-0.54,-9999.99,-100.00
290,Entry long,2017-08-23 08:00,Long,4099,0.000002,0.008198,0.0002,2.75,0.0002,2.85,-0.00004,-0.54,-9999.99,-100.00
291,Exit long,2017-08-30 08:00,Long Exit,4505,0.000002,0.009156,-0.0002,-1.79,0.0001,1.30,-0.0002,-1.69,-9999.99,-100.00
291,Entry long,2017-08-29 16:00,Long,4578,0.000002,0.009156,-0.0002,-1.79,0.0001,1.30,-0.0002,-1.69,-9999.99,-100.00
292,Exit long,2017-09-13 08:00,Long Exit,3885,0.000002,0.007898,-0.0001,-1.82,0.0001,1.19,-0.0001,-1.72,-9999.99,-100.00
292,Entry long,2017-09-13 08:00,Long,3949,0.000002,0.007898,-0.0001,-1.82,0.0001,1.19,-0.0001,-1.72,-9999.99,-100.00
293,Exit short,2017-09-21 20:00,Short Exit,3689,0.000002,0.007276,-0.0001,-1.60,0,0.00,-0.0001,-1.50,-9999.99,-100.00
293,Entry short,2017-09-21 20:00,Short,3638,0.000002,0.007276,-0.0001,-1.60,0,0.00,-0.0001,-1.50,-9999.99,-100.00
294,Exit long,2017-09-25 00:00,Long Exit,3775,0.000002,0.007338,0.0002,2.68,0.0002,2.79,-0.00003,-0.40,-9999.99,-100.00
294,Entry long,2017-09-25 00:00,Long,3669,0.000002,0.007338,0.0002,2.68,0.0002,2.79,-0.00003,-0.40,-9999.99,-100.00
295,Exit long,2017-10-01 12:00,Long Exit,4251,0.000002,0.00864,-0.0002,-1.79,0.00005,0.57,-0.0001,-1.70,-9999.99,-100.00
