Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
410,Entry long,2024-05-17 03:45,Long,65814,0.001424,93.719136,-0.4,-0.43,0,0.00,-0.36,-0.38,-61.98,-6.20
411,Exit long,2024-05-17 15:30,Exit Long,67461,0.0014,93.73,0.62,0.66,0.67,0.71,-0.11,-0.12,-61.35,-6.14
411,Entry long,2024-05-17 15:15,Long,66950,0.0014,93.73,0.62,0.66,0.67,0.71,-0.11,-0.12,-61.35,-6.14
412,Exit long,2024-05-18 07:30,Exit Long,67053,0.001395,93.739815,-0.29,-0.31,0,0.00,-0.25,-0.26,-61.65,-6.16
412,Entry long,2024-05-18 07:30,Long,67197,0.001395,93.739815,-0.29,-0.31,0,0.00,-0.25,-0.26,-61.65,-6.16
413,Exit long,2024-05-19 04:15,Exit Long,67057,0.001395,93.734235,-0.28,-0.30,0.03,0.03,-0.24,-0.25,-61.93,-6.19
413,Entry long,2024-05-19 03:00,Long,67193,0.001395,93.734235,-0.28,-0.30,0.03,0.03,-0.24,-0.25,-61.93,-6.19
414,Exit long,2024-05-19 08:30,Exit Long,67165,0.001393,93.744721,-0.28,-0.30,0,0.00,-0.23,-0.25,-62.21,-6.22
414,Entry long,2024-05-19 08:00,Long,67297,0.001393,93.744721,-0.28,-0.30,0,0.00,-0.23,-0.25,-62.21,-6.22
415,Exit long,2024-05-20 04:30,Exit Long,67008,0.001405,93.69664,0.36,0.38,0.4,0.43,-0.19,-0.21,-61.85,-6.19
415,Entry long,2024-05-20 02:30,Long,66688,0.001405,93.69664,0.36,0.38,0.4,0.43,-0.19,-0.21,-61.85,-6.19
416,Exit long,2024-05-22 11:30,Exit Long,69951,0.001335,93.70098,-0.41,-0.44,0.05,0.05,-0.36,-0.39,-62.26,-6.23
416,Entry long,2024-05-22 10:45,Long,70188,0.001335,93.70098,-0.41,-0.44,0.05,0.05,-0.36,-0.39,-62.26,-6.23
