Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
2823,VWAP_Reversal,BTCUSDT,1h,10000,7862.78,-2137.22,-21.37,-2137.22,-2137.22,188,29,159,15.43,0.89,2.86,-0.08,48.29,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",1h
2824,VWAP_Support_Level,BTCUSDT,1h,10000,7862.78,-2137.22,-21.37,-2137.22,-2137.22,188,29,159,15.43,0.89,2.86,-0.08,48.29,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",1h
2825,Support_Bounce,BTCUSDT,1h,10000,7862.78,-2137.22,-21.37,-2137.22,-2137.22,188,29,159,15.43,0.89,2.86,-0.08,48.29,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",1h
2826,BB_Squeeze_Pro,BTCUSDT,1h,10000,7862.78,-2137.22,-21.37,-2137.22,-2137.22,188,29,159,15.43,0.89,2.86,-0.08,48.29,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",1h
2827,RSI_Bounce,BTCUSDT,1h,10000,7862.78,-2137.22,-21.37,-2137.22,-2137.22,188,29,159,15.43,0.89,2.86,-0.08,48.29,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",1h
2828,Volume_Spike_Pro,BTCUSDT,1h,10000,7861.83,-2138.17,-21.38,-2138.17,-2138.17,161,25,136,15.53,0.89,3.26,-0.09,48.03,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
2829,EMA_RSI_Momentum,BNBUSDT,15m,10000,7857.75,-2142.25,-21.42,-21.42,-21.42,141,22,119,15.6,0.89,4,-0.08,53.57,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
2830,RSI_Recovery,BTCUSDT,15m,10000,7853.45,-2146.55,-21.47,-2146.55,-2146.55,114,15,99,13.16,0.84,3.53,-0.14,50.31,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
2831,BB_MACD_Trade,BTCUSDT,15m,10000,7844.53,-2155.47,-21.55,-2155.47,-2155.47,91,12,79,13.19,0.82,4.02,-0.18,47.89,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
2832,Bollinger_Squeeze_Entry,BTCUSDT,15m,10000,7844.53,-2155.47,-21.55,-2155.47,-2155.47,91,12,79,13.19,0.82,4.02,-0.18,47.89,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
2833,VWAP_Momentum_Pro,BNBUSDT,1h,10000,7843.76,-2156.24,-21.56,-21.56,-21.56,96,16,80,16.67,0.89,4.43,-0.16,54.06,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
2834,Volume_Spike_Pro,BTCUSDT,15m,10000,7842.33,-2157.67,-21.58,-2157.67,-2157.67,92,12,80,13.04,0.83,4.09,-0.18,48.76,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
2835,Mega_Confirmation,BTCUSDT,15m,10000,7839.34,-2160.66,-21.61,-2160.66,-2160.66,28,4,24,14.29,0.76,7.8,-0.61,44.33,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.025, TP:0.15, TS:0.025",15m
2836,VWAP_BB_Stochastic_EMA,XRPUSDT,4h,10000,7834.59,-2165.41,-21.65,-21.65,-21.65,19,3,16,15.79,0.49,5.76,-1.17,,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
2837,Moderate_Strategy,BTCUSDT,1h,10000,7834.94,-2165.06,-21.65,-2165.06,-2165.06,155,27,128,17.42,0.9,3.47,-0.09,49.46,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.07, TS:0.012",1h
