Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
557,EMA_Cloud_Strength,SOLUSDT,4h,10000,5986.38,-4013.62,-40.14,-40.14,-40.14,33,3,30,9.09,0.28,3.79,-1.54,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
558,Trend_Follower_Pro,SOLUSDT,4h,10000,5986.38,-4013.62,-40.14,-40.14,-40.14,33,3,30,9.09,0.28,3.79,-1.54,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
559,VWAP_Trend_Pro,SOLUSDT,4h,10000,5964.86,-4035.14,-40.35,-40.35,-40.35,33,3,30,9.09,0.28,3.8,-1.55,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
560,Breakout_Stochastic_ADX,SOLUSDT,4h,10000,5959.59,-4040.41,-40.4,-40.4,-40.4,40,6,34,15.0,0.56,6.7,-1.13,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
561,Trend_Acceleration,SOLUSDT,4h,10000,5919.62,-4080.38,-40.8,-40.8,-40.8,41,5,36,12.2,0.41,4.76,-1.21,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
562,BB_Stochastic_MACD_ADX,SOLUSDT,4h,10000,5913.27,-4086.73,-40.87,-40.87,-40.87,47,8,39,17.02,0.53,5.38,-1.02,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
563,Supertrend_Volume_ADX,SOLUSDT,4h,10000,5874.63,-4125.37,-41.25,-41.25,-41.25,39,5,34,12.82,0.42,4.96,-1.29,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
564,EMA_Break_Momentum,SOLUSDT,4h,10000,5872.01,-4127.99,-41.28,-41.28,-41.28,34,4,30,11.76,0.39,4.76,-1.51,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
565,VWAP_ADX_Trade,SOLUSDT,4h,10000,5853.3,-4146.7,-41.47,-41.47,-41.47,80,14,66,17.5,0.67,5.25,-0.56,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
566,ADX_Volatility_Trade,SOLUSDT,4h,10000,5819.64,-4180.36,-41.8,-41.8,-41.8,105,20,85,19.05,0.7,4.36,-0.43,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
567,ADX_BB_Combo,SOLUSDT,4h,10000,5819.64,-4180.36,-41.8,-41.8,-41.8,105,20,85,19.05,0.7,4.36,-0.43,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
568,Stochastic_KD_Cross,SOLUSDT,4h,10000,5791.23,-4208.77,-42.09,-42.09,-42.09,108,21,87,19.44,0.68,3.82,-0.44,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
