Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
21,Exit long,2026-01-19 00:00,TP/SL,94277.6,1,96137,-1859.4,-1.93,352.5,0.37,-1859.4,-1.93,-20179.7,-2.02
21,Entry long,2026-01-17 12:00,BUY,96137,1,96137,-1859.4,-1.93,352.5,0.37,-1859.4,-1.93,-20179.7,-2.02
22,Exit short,2026-01-29 12:00,TP/SL,85042.3,1,89751.7,4709.4,5.25,4709.4,5.25,-2105.9,-2.35,-15470.3,-1.55
22,Entry short,2026-01-22 16:00,SELL,89751.7,1,89751.7,4709.4,5.25,4709.4,5.25,-2105.9,-2.35,-15470.3,-1.55
23,Exit short,2026-02-05 00:00,TP/SL,71587.6,1,78508.6,6921,8.82,6921,8.82,-992.3,-1.26,-8549.3,-0.85
23,Entry short,2026-02-02 20:00,SELL,78508.6,1,78508.6,6921,8.82,6921,8.82,-992.3,-1.26,-8549.3,-0.85
24,Exit long,2026-02-11 12:00,TP/SL,66004.3,1,69391.9,-3387.6,-4.88,745.7,1.07,-3387.6,-4.88,-11936.9,-1.19
24,Entry long,2026-02-10 16:00,BUY,69391.9,1,69391.9,-3387.6,-4.88,745.7,1.07,-3387.6,-4.88,-11936.9,-1.19
25,Exit short,2026-02-21 12:00,TP/SL,68627.3,1,66584.1,-2043.2,-3.07,869.9,1.31,-2043.2,-3.07,-13980.1,-1.40
25,Entry short,2026-02-19 12:00,SELL,66584.1,1,66584.1,-2043.2,-3.07,869.9,1.31,-2043.2,-3.07,-13980.1,-1.40
26,Exit long,2026-03-04 12:00,TP/SL,72217.3,1,66870.1,5347.2,8.00,5347.2,8.00,-1514.9,-2.27,-8632.9,-0.86
26,Entry long,2026-03-02 04:00,BUY,66870.1,1,66870.1,5347.2,8.00,5347.2,8.00,-1514.9,-2.27,-8632.9,-0.86
